id,tc,pretty_formula
mp-1173344,26.435394,Rb4N2O7
mp-1173458,21.515762,Rb5NO5
mp-1173599,16.69575,Rb2SeO4
mp-1173720,15.75035,NaHo2F7
mp-1173730,16.268414,Na2SO4
mp-1173889,16.016174,Li2CoO3
mp-1173890,16.156452,Li2CoO3
mp-1173894,15.547308,Li2CoO3
mp-1176534,16.310495,LiVF4
mp-1176629,20.310787,LiMnF4
mp-1176639,16.623531,LiMnF4
mp-1176654,20.069439,LiMnF4
mp-1177431,18.802973,Li4Fe3(NiO4)3
mp-1178143,16.090843,K2Zn2O3
mp-1178384,22.952597,Eu2NiO4
mp-1178388,27.64227,CsTlO2
mp-1178416,19.958454,CrO
mp-1178510,29.271133,BaPdO3
mp-1178520,25.91243,CaEu4O5
mp-1178535,21.938091,Ba3Y2O6
mp-1178568,20.918446,
mp-1178632,17.17811,ZnSeO5
mp-1178719,17.737547,Zn(OF)2
mp-1178724,23.074408,Zn4P2O13
mp-1178781,20.900116,Zn2P3O16
mp-1178868,15.020682,V(ClO2)3
mp-1179015,20.472206,SrZnO5
mp-1179154,45.200867,TlO
mp-1179184,20.294773,TlBrO3
mp-1179220,20.28327,
mp-1179241,15.034119,
mp-1179400,17.087376,
mp-1179419,15.44125,
mp-1179438,15.776125,SnAs2O9
mp-1179540,15.118141,ScBr3O7
mp-1179695,16.099792,SrBiBr5O8
mp-1179765,16.780352,RbZn2P3O14
mp-1179886,16.206707,NaHF2
mp-1180162,29.114557,Ni(ClO3)2
mp-1180192,20.494217,NaAsO6
mp-1180205,18.922886,
mp-1180213,15.278283,NaBrO3
mp-1180275,18.311232,Na2SnO6
mp-1180278,18.36076,NaClO3
mp-1180350,15.496017,MgSi(OF)6
mp-1180363,18.08855,NaPO4
mp-1180407,21.49787,Mg(BrO3)2
mp-1180419,16.915234,NaAgI2O3
mp-1180445,18.927742,Na2TeO5
mp-1180492,19.88668,Na2B5O11
mp-1180514,19.06388,LiTi(SO)2
mp-1180517,17.32884,MgSO9
mp-1180549,15.270918,
mp-1180580,19.940815,LiHF2
mp-1180640,17.357159,NaZn2P3O19
mp-1180695,17.142542,Rb3VO8
mp-1180711,45.988163,KO2
mp-1180742,45.637077,KO2
mp-1180869,23.99357,KMg(CO5)2
mp-1180950,15.918974,K2TlCl5O2
mp-1180977,15.4414425,K2Os(NO5)2
mp-1180993,20.713243,KCaAsO12
mp-1181027,15.558191,HgO2
mp-1181028,16.707369,K3Al3Si3O16
mp-1181057,18.22389,
mp-1181144,17.97548,K2PtO6
mp-1181167,27.883392,Na2B4O11
mp-1181193,20.541424,KCa4Si8O28F
mp-1181272,25.61169,InO3
mp-1181274,15.503081,K2Al2(SiO4)3
mp-1181303,17.174755,FeSb(ClO)8
mp-1181342,21.636694,Ga2O3
mp-1181359,19.650108,MgCd2(ClO2)6
mp-1181380,27.863499,K2PbO6
mp-1181405,32.952553,K2SnO6
mp-1181502,16.070206,CsO2
mp-1181674,20.854803,K2Zn4P4O21
mp-1181968,15.47503,NaBeSi3O8
mp-1181992,19.409061,CaZn2(PO5)2
mp-1182005,15.203395,CaFeClO2
mp-1182012,17.462236,CaPBrO8
mp-1182035,18.42917,CaZn2(PO5)2
mp-1182043,25.585846,Cd(PO5)2
mp-1182068,37.028828,Ca3CoO6
mp-1182073,25.554317,Na4P2NO16
mp-1182082,16.53745,CaAl(OF2)2
mp-1182120,17.3298,BrO3
mp-1182141,27.756502,BaO2
mp-1182149,19.020277,
mp-1182169,17.742767,BaO6
mp-1182221,24.699278,Cr2Cu3(OF)12
mp-1182238,45.699722,BaO2
mp-1182259,48.46096,BaO2
mp-1182262,29.483452,Cd(ClO2)2
mp-1182282,21.670494,Cr2Cu3(OF)12
mp-1182293,16.582087,BrO4
mp-1182309,18.283585,Ca(BO5)2
mp-1182337,17.321917,BaClO3
mp-1182377,51.38363,Ba2CuO6
mp-1182380,15.156587,
mp-1182493,16.829262,CaVSi4O15
mp-1182494,16.159508,BeCuO5F4
mp-1182536,17.22493,Ca3As2O19
mp-1182550,34.86704,Ba2ZnO6
mp-1182559,15.63989,BaCu(C2O7)2
mp-1182569,26.832436,Ba2Ca3Tl2(CuO3)4
mp-1182615,21.477314,Ca3MnS2O17
mp-1182663,25.972046,Ba2Zn(HO)6
mp-1182697,18.785292,BaZnO5
mp-1182704,20.031048,CaZn2(PO5)2
mp-1182834,17.673546,Cd2Ni(ClO2)6
mp-1182902,17.810703,AlF3
mp-1183007,17.543102,AlF3
mp-1183009,18.462626,Al(ClO2)3
mp-1183282,19.003042,BaBeO3
mp-1183284,28.51919,BaLiO3
mp-1183285,21.445446,BaCaO3
mp-1183288,18.008598,BaInO3
mp-1183289,15.86866,BaScO3
mp-1183292,31.644575,BaCdO3
mp-1183298,41.99068,BaReO3
mp-1183303,16.041706,BaF3
mp-1183325,37.83082,Ba2V2O5
mp-1183394,20.086994,BaTmO3
mp-1183395,29.000847,BaWO3
mp-1183405,31.20213,BaZnO3
mp-1183589,17.465689,CaF3
mp-1183771,26.16874,DyCuO3
mp-1183878,16.02652,EuCdO3
mp-1183925,20.010994,CsCdO3
mp-1183928,24.06606,Eu2As2O5
mp-1184044,23.229172,CuHgO3
mp-1184073,17.19727,CuPdO3
mp-1184157,17.902504,ErCuO3
mp-1184219,15.917444,ErTlO3
mp-1184939,18.331095,KLiO3
mp-1184946,16.274437,KZnO3
mp-1184957,16.3209,KRbO3
mp-1184960,39.624664,KMgO3
mp-1184992,27.348309,KCdO3
mp-1185487,16.592804,LuF3
mp-1185613,18.62019,MgTlO3
mp-1185862,16.606453,MgF3
mp-1186884,33.902695,RbMgO3
mp-1187177,16.58976,SrF3
mp-1187483,24.636156,TlCuO3
mp-1187562,25.588621,YbCuO3
mp-1187594,16.89698,YbF3
mp-1188205,24.42759,Rb2O3
mp-1188418,16.27264,MgV2(CuO6)2
mp-1188454,22.992195,PbO2
mp-1188508,22.86639,K2MoO2F5
mp-1188736,15.928243,Na2Pd(C2O5)2
mp-1189074,19.199448,Rb2AlOF5
mp-1189161,18.63259,Rb2MnOF5
mp-1189355,17.348017,Zn2SiO5
mp-1189432,16.653503,Zn(H3C)2
mp-1189473,20.136711,FeSb(ClO)8
mp-1189594,17.347797,
mp-1189956,26.398603,BaMnOF5
mp-1190371,15.652722,Fe2O2F5
mp-1190384,26.502392,CaSeO4
mp-1190674,24.309223,
mp-1190696,20.54325,K2RuNO2F5
mp-1191077,24.310825,KCdCl3O
mp-1191168,20.385143,MgGaH4
mp-1191679,72.66717,Sr2Ca3Cu4(BiO6)2
mp-1191741,16.716309,CaSiO4
mp-1191766,15.859348,RbMg(BrO2)3
mp-1191787,18.704613,LiCa3OsO6
mp-1191802,20.191051,Mg(C2O3)2
mp-1191813,21.117533,
mp-1192379,15.4434185,Na2PtF6
mp-1192821,15.351547,NaSbBrOF3
mp-1192982,19.063972,Ba2CuP2O9
mp-1193321,15.43609,AlPO5
mp-1193622,17.28823,
mp-1193690,21.626633,Ge7HO20
mp-1193779,18.087513,Ca(BO5)2
mp-1193860,16.06175,CsIn(SeO5)2
mp-1194011,18.439533,SO12
mp-1194243,15.469379,RbNdSe2O11
mp-1194474,16.883545,BaCl2O11
mp-1194829,15.90855,Tl2PO3
mp-1195056,71.34039,Ca2Co2O5
mp-1195269,70.08155,Ca2Co2O5
mp-1195412,66.85537,Ca2Co2O5
mp-1195459,15.775258,C3F5
mp-1195560,15.21275,C3F5
mp-1195771,17.29467,Zn2As2O9
mp-1196014,16.003777,BaAl2O6
mp-1196035,28.980686,Na6Zn3As4O19
mp-1196062,42.786743,Ca5(IO6)2
mp-1196067,28.06527,InPO6
mp-1196075,16.0737,Si10(H3C)19
mp-1196082,16.15868,KMg2(AsO6)2
mp-1196125,16.735788,Si(H3C)2
mp-1196236,15.486277,K2Sb2SeO5F6
mp-1196240,15.401013,USi8H56(C4N)4
mp-1196275,21.457,BaFeOF5
mp-1196276,22.584795,CaAsHO5
mp-1196368,19.57705,K2Na6Zn4Si14O45
mp-1196400,17.872604,InIO5
mp-1196415,18.487667,Li2Al2(SiO4)3
mp-1196423,17.537323,SrTi(OF3)2
mp-1196462,28.08163,K2BiCl5O2
mp-1196598,21.737537,
mp-1196617,16.201382,Si11(H3C)21
mp-1196622,15.124068,YbCO4
mp-1196695,24.981003,Na2Al2(SiO4)3
mp-1196701,22.714783,Na2Al2Si3O14
mp-1196709,19.32796,Mn2NbC8(NO)8
mp-1196952,18.816116,CaAl2Si3O13
mp-1197109,18.830318,FeSO11
mp-1197151,17.514484,Cd(BrO4)2
mp-1197221,16.001314,Er2S3O20
mp-1197321,21.497955,K2AlB5O14
mp-1197324,19.116962,NaSbO6
mp-1197331,17.48257,HoAl3(H3C)12
mp-1197341,16.65908,Si3As(H3C)9
mp-1197364,16.6748,BiSO6
mp-1197427,16.661133,K2CaSi4O15
mp-1197533,15.525273,LiMnH2OF4
mp-1197555,18.13969,CaAl2(Si2O7)2
mp-1197578,19.094978,CaAsO5
mp-1197648,18.7332,K2Pt(C2O5)2
mp-1197696,20.643135,
mp-1197698,16.579601,
mp-1198169,23.414204,K2MoO3F4
mp-1198220,27.051384,BaAs2O5
mp-1198269,23.50988,NaSbClOF3
mp-1198398,18.049583,CoSO10
mp-1198612,20.102081,
mp-1198755,15.52508,CdSi3AsH27C9I2
mp-1198774,16.12286,Si(H3C)2
mp-1198916,16.38549,KSi2H14C4N
mp-1199217,21.081928,K2TlCl5O2
mp-1199230,15.135981,InSi4H38C14Cl
mp-1199342,16.61002,Si4Ge(H3C)11
mp-1199394,16.192019,Si(H3C)2
mp-1199399,15.957056,TiSi7H48(C8O)2
mp-1199479,17.990664,Ca5(Si3O11)2
mp-1199701,16.725895,Ca(ReO5)2
mp-1199824,17.036678,Ga3P6O31
mp-1199876,18.576942,K2Al2(SiO4)3
mp-1200047,18.787403,K2Mo(OF)4
mp-1200056,15.005353,Sm2Se3O20
mp-1200429,22.559994,Mg2CO5
mp-1200450,25.48742,K3As2O11
mp-1200500,18.885666,Na2ZrSi3O11
mp-1200564,15.015701,ZnSi3GeH35C13BrO
mp-1200736,19.905151,RbNaB4H4O13
mp-1200761,15.898006,Si6H31C10N
mp-1201032,15.3988,Sn4Ge(H3C)12
mp-1201057,20.36211,BaB12(H2O)6
mp-1201175,18.509308,LiBeAsO5
mp-1201240,16.514475,Rb2CuC2O7
mp-1201280,15.088937,
mp-1201366,22.073387,Na4SrSi8O23
mp-1201693,16.980268,CaAl2(Si2O7)2
mp-1201793,16.22047,Si(H3C)2
